score_phrase,title,url,platform,score,genre,editors_choice,release_year,release_month,release_day,Global_Sales
Amazing,BlazBlue: Calamity Trigger,/games/blazblue/xbox-360-14345704,Xbox 360,9.4,Fighting,Y,2009,6,26,0.58
Great,BlazBlue: Calamity Trigger Portable,/games/blazblue/psp-42504,PlayStation Portable,8.0,Fighting,N,2010,4,5,0.11
Great,BlazBlue: Continuum Shift,/games/blazblue-continuum-shift/ps3-60606,PlayStation 3,8.5,Fighting,Y,2010,7,22,0.41
Good,BlazBlue: Continuum Shift II,/games/blazblue-continuum-shift-ii/psp-95944,PlayStation Portable,7.5,Fighting,N,2011,6,17,0.13
Great,BlazBlue: Chrono Phantasma,/games/blazblue-chronophantasma/ps3-139265,PlayStation 3,8.5,Fighting,N,2014,3,27,0.29
