score_phrase,title,url,platform,score,genre,editors_choice,release_year,release_month,release_day,Global_Sales
Amazing,Devil May Cry,/games/devil-may-cry/ps2-15620,PlayStation 2,9.6,"Action, Adventure",Y,2001,10,16,2.99
Good,Devil May Cry 2,/games/devil-may-cry-2/ps2-482048,PlayStation 2,7.0,Action,N,2003,1,28,1.97
Amazing,Devil May Cry 3: Dante's Awakening,/games/devil-may-cry-3-dantes-awakening/ps2-640426,PlayStation 2,9.6,Action,Y,2005,2,25,2.09
Great,Devil May Cry 4,/games/devil-may-cry-4/ps3-748464,PlayStation 3,8.7,Action,Y,2008,2,4,1.59
Good,Devil May Cry HD Collection,/games/devil-may-cry-hd-collection/ps3-111682,PlayStation 3,7.5,Compilation,N,2012,3,30,0.84
Great,DmC: Devil May Cry,/games/dmc/pc-134823,PC,8.9,Action,Y,2013,1,14,0.82
