score_phrase,title,url,platform,score,genre,editors_choice,release_year,release_month,release_day,Global_Sales
Great,Midnight Club: Street Racing,/games/midnight-club-street-racing/ps2-13933,PlayStation 2,8.6,Racing,Y,2000,10,24,2.63
Amazing,Midnight Club II,/games/midnight-club-ii/ps2-15550,PlayStation 2,9.1,Racing,Y,2003,4,8,1.78
Amazing,Midnight Club 3: DUB Edition,/games/midnight-club-3-dub-edition/xbox-681774,Xbox,9.2,Racing,Y,2005,4,11,3.66
Great,Midnight Club 3: DUB Edition Remix,/games/midnight-club-3-dub-edition/ps2-802142,PlayStation 2,8.8,Racing,Y,2006,3,13,1.16
Great,Midnight Club: Los Angeles,/games/midnight-club-los-angeles/xbox-360-906844,Xbox 360,8.5,Racing,Y,2008,10,20,2.45
Good,Midnight Club: L.A. Remix,/games/midnight-club-los-angeles/psp-14248588,PlayStation Portable,7.6,Racing,N,2008,10,23,0.0
