score_phrase,title,url,platform,score,genre,editors_choice,release_year,release_month,release_day,Global_Sales
Mediocre,Wolfenstein 3-D,/games/wolfenstein-3-d/gba-478846,Game Boy Advance,5.0,Shooter,N,2002,4,24,0.0
Amazing,Return to Castle Wolfenstein: Tides of War,/games/return-to-castle-wolfenstein-tides-of-war/xbox-488460,Xbox,9.3,Shooter,Y,2003,5,7,0.67
Good,Wolfenstein,/games/wolfenstein/pc-774701,PC,7.3,Shooter,N,2009,8,20,0.64
Good,Wolfenstein: The New Order,/games/wolfenstein-the-new-order/xbox-360-167462,Xbox 360,7.8,Shooter,N,2014,5,20,1.58
Good,Wolfenstein: The Old Blood,/games/wolfenstein-the-old-blood/ps4-20033700,PlayStation 4,7.0,Shooter,N,2015,5,8,0.42
