score_phrase,title,url,platform,score,genre,editors_choice,release_year,release_month,release_day,Global_Sales
Good,Ninja Gaiden,/games/ninja-gaiden-arcade/lynx-4152,Lynx,7.0,Action,N,1999,7,6,1.23
Great,Ninja Gaiden Episode 1: Destiny,/games/ninja-gaiden-nes/cell-683739,Wireless,8.0,Action,Y,2004,7,16,0.0
Amazing,Ninja Gaiden Black,/games/ninja-gaiden-black/xbox-745543,Xbox,9.4,Action,Y,2005,9,19,0.09
Amazing,Ninja Gaiden Sigma,/games/ninja-gaiden-sigma/ps3-856529,PlayStation 3,9.3,Action,Y,2007,6,29,1.15
Great,Ninja Gaiden II,/games/ninja-gaiden-ii/xbox-360-686645,Xbox 360,8.7,Action,Y,2008,5,26,1.01
Great,Ninja Gaiden Sigma 2,/games/ninja-gaiden-ii/ps3-775527,PlayStation 3,8.4,Action,N,2009,9,22,0.86
Mediocre,Ninja Gaiden (Arcade),/games/ninja-gaiden-arcade/wii-28518,Wii,5.0,Action,N,2010,1,27,0.0
Awful,Ninja Gaiden III,/games/ninja-gaiden-iii/xbox-360-14350224,Xbox 360,3.0,Action,N,2012,3,19,0.0
Mediocre,Yaiba: Ninja Gaiden Z,/games/yaiba-ninja-gaiden-z/xbox-360-143466,Xbox 360,5.6,Action,N,2014,3,18,0.1
