score_phrase,title,url,platform,score,genre,editors_choice,release_year,release_month,release_day,Global_Sales
Amazing,God of War [2005],/games/god-of-war/ps2-661321,PlayStation 2,9.8,"Action, Adventure",Y,2005,3,18,0.0
Amazing,God of War II,/games/god-of-war-ii/ps2-811719,PlayStation 2,9.7,"Action, Adventure",Y,2007,2,12,4.07
Amazing,God of War: Chains of Olympus,/games/god-of-war-chains-of-olympus/psp-886122,PlayStation Portable,9.4,Action,Y,2008,2,18,3.19
Amazing,God of War Collection,/games/god-of-war-collection/ps3-29855,PlayStation 3,9.4,Compilation,Y,2009,11,13,2.63
Amazing,God of War III,/games/god-of-war-iii/ps3-886158,PlayStation 3,9.3,Action,Y,2010,3,8,4.84
Amazing,God of War Origins,/games/god-of-war-origins/ps3-110610,PlayStation 3,9.0,"Action, Compilation",Y,2011,8,29,0.0
Good,God of War: Ascension,/games/god-of-war-ascension/ps3-121511,PlayStation 3,7.8,Action,N,2013,3,14,2.29
Great,God of War III Remastered,/games/god-of-war-iii/ps4-20034522,PlayStation 4,8.8,Action,N,2015,7,14,0.0
