score_phrase,title,url,platform,score,genre,editors_choice,release_year,release_month,release_day,Global_Sales
Amazing,Forza Horizon,/games/forza-horizon/xbox-360-129564,Xbox 360,9.0,Racing,Y,2012,10,12,2.02
Amazing,Forza Horizon 2,/games/forza-horizon-2/xbox-one-20019290,Xbox One,9.0,Racing,Y,2014,9,25,1.37
Okay,Forza Horizon 2 Presents Fast & Furious,/games/forza-horizon-2-presents-fast-furious/xbox-one-20033245,Xbox One,6.5,Racing,N,2015,4,1,0.0
Amazing,Forza Horizon 3,/games/forza-horizon-3/xbox-one-20054783,Xbox One,9.5,Racing,Y,2016,9,20,0.38
