score_phrase,title,url,platform,score,genre,editors_choice,release_year,release_month,release_day,Global_Sales
Great,Burnout,/games/burnout/ps2-15034,PlayStation 2,8.6,Racing,Y,2001,11,2,0.74
Amazing,Burnout 2: Point of Impact,/games/burnout-2-point-of-impact/ps2-481982,PlayStation 2,9.0,Racing,Y,2002,9,24,0.85
Amazing,Burnout 3: Takedown,/games/burnout-3-takedown/xbox-639295,Xbox,9.5,Racing,Y,2004,9,2,2.68
Great,Burnout Revenge,/games/burnout-revenge/xbox-708572,Xbox,8.9,Racing,Y,2005,9,8,0.9
Great,Burnout Legends,/games/burnout-legends/psp-664937,PlayStation Portable,8.5,Racing,Y,2005,9,13,0.85
Great,Burnout Dominator,/games/burnout-dominator/psp-867845,PlayStation Portable,8.5,Racing,Y,2007,3,7,0.46
Great,Burnout Paradise,/games/burnout-paradise/xbox-360-850816,Xbox 360,8.8,Racing,Y,2008,1,16,1.97
Great,Burnout Paradise: The Ultimate Box,/games/burnout-paradise/pc-14253117,PC,8.4,Racing,N,2009,2,3,0.1
