score_phrase,title,url,platform,score,genre,editors_choice,release_year,release_month,release_day,Global_Sales
Amazing,Gran Turismo 2,/games/gran-turismo-2/ps-11426,PlayStation,9.8,Racing,Y,1999,12,20,9.49
Amazing,Gran Turismo 4,/games/gran-turismo-4/ps2-489327,PlayStation 2,9.5,Racing,Y,2005,2,22,11.66
Great,Gran Turismo 5 Prologue,/games/gran-turismo-5-prologue/ps3-949777,PlayStation 3,8.5,Racing,Y,2008,4,15,4.2
Okay,Gran Turismo,/games/gran-turismo-psp/psp-682963,PlayStation Portable,6.8,Racing,N,2009,9,15,10.95
Great,Gran Turismo 5,/games/gran-turismo-5/ps3-857126,PlayStation 3,8.5,Racing,Y,2010,11,24,10.77
Great,Gran Turismo 6,/games/gran-turismo-6/ps3-168334,PlayStation 3,8.0,Racing,N,2013,12,6,3.64
