score_phrase,title,url,platform,score,genre,editors_choice,release_year,release_month,release_day,Global_Sales
Good,Doom 64,/games/doom/n64-503,Nintendo 64,7.4,Shooter,N,1997,1,28,0.47
Good,Final Doom,/games/final-doom/ps-446,PlayStation,7.0,Action,N,1997,1,7,0.27
Great,Doom 3,/games/doom-3/pc-14934,PC,8.9,Shooter,Y,2004,8,5,1.34
Great,Doom 3: Resurrection of Evil,/games/doom-3-resurrection-of-evil/pc-710432,PC,8.4,Shooter,N,2005,4,4,0.71
Bad,Death Jr. and the Science Fair of Doom,/games/death-jr-and-the-science-fair-of-doom/nds-827111,Nintendo DS,4.0,Action,N,2007,6,21,0.08
Mediocre,Kingdom Under Fire: Circle of Doom,/games/kingdom-under-fire-circle-of-doom/xbox-360-804099,Xbox 360,5.8,"Action, RPG",N,2008,1,9,0.37
Painful,Myth Makers: Orbs of Doom,/games/myth-makers-orbs-of-doom/wii-889417,Wii,2.9,Action,N,2008,2,27,0.05
Good,Doom,/games/doom-4/pc-14252444,PC,7.1,Shooter,N,2016,5,16,0.78
