score_phrase,title,url,platform,score,genre,editors_choice,release_year,release_month,release_day,Global_Sales
Amazing,Tom Clancy's Ghost Recon,/games/tom-clancys-ghost-recon/pc-16525,PC,9.3,Action,Y,2001,11,9,1.94
Great,Tom Clancy's Ghost Recon: Island Thunder,/games/tom-clancys-ghost-recon-island-thunder/pc-489020,PC,8.4,Shooter,N,2002,9,25,0.87
Okay,Tom Clancy's Ghost Recon: Jungle Storm,/games/tom-clancys-ghost-recon-jungle-storm/ps2-572957,PlayStation 2,6.5,Shooter,N,2004,3,17,1.16
Great,Tom Clancy's Ghost Recon 2,/games/tom-clancys-ghost-recon-2/xbox-675406,Xbox,8.8,Shooter,Y,2004,11,16,1.36
Okay,Tom Clancy's Ghost Recon Advanced Warfighter,/games/tom-clancys-ghost-recon-advanced-warfighter/xbox-736207,Xbox,6.0,Shooter,N,2006,3,14,1.54
Amazing,Tom Clancy's Ghost Recon Advanced Warfighter 2,/games/tom-clancys-ghost-recon-advanced-warfighter-2/xbox-360-862427,Xbox 360,9.1,Shooter,Y,2007,3,7,1.04
Okay,Tom Clancy's Ghost Recon: Predator,/games/tom-clancys-ghost-recon-predator/psp-61124,PlayStation Portable,6.0,Shooter,N,2010,11,16,0.1
Good,Tom Clancy's Ghost Recon: Shadow Wars,/games/tom-clancys-ghost-recon-shadow-wars/3ds-77796,Nintendo 3DS,7.0,Action,N,2011,3,26,0.34
Great,Tom Clancy's Ghost Recon: Future Soldier,/games/tom-clancys-ghost-recon-future-soldier/xbox-360-14290333,Xbox 360,8.5,Shooter,Y,2012,5,22,1.46
