Year,Genre,Global_Sales
1996.0,Action,20.580000000000005
1996.0,Adventure,4.1899999999999995
1996.0,Fighting,18.06000000000001
1996.0,Racing,28.23999999999999
1996.0,Shooter,6.91
1997.0,Action,27.580000000000002
1997.0,Adventure,4.96
1997.0,Fighting,11.76
1997.0,Racing,31.910000000000004
1997.0,Shooter,22.169999999999998
1998.0,Action,39.440000000000005
1998.0,Adventure,9.049999999999995
1998.0,Fighting,31.660000000000018
1998.0,Racing,27.89999999999999
1998.0,Shooter,9.799999999999997
1999.0,Action,27.77999999999999
1999.0,Adventure,7.599999999999999
1999.0,Fighting,14.259999999999994
1999.0,Racing,37.27
1999.0,Shooter,12.249999999999998
2000.0,Action,34.04000000000002
2000.0,Adventure,2.98
2000.0,Fighting,20.22
2000.0,Racing,19.990000000000002
2000.0,Shooter,6.81
2001.0,Action,59.39000000000001
2001.0,Adventure,9.12
2001.0,Fighting,18.12
2001.0,Racing,55.809999999999995
2001.0,Shooter,24.770000000000003
2002.0,Action,86.76999999999992
2002.0,Adventure,11.050000000000002
2002.0,Fighting,25.020000000000003
2002.0,Racing,30.200000000000003
2002.0,Shooter,48.579999999999984
2003.0,Action,67.92999999999999
2003.0,Adventure,2.1399999999999997
2003.0,Fighting,23.730000000000004
2003.0,Racing,52.190000000000026
2003.0,Shooter,27.140000000000008
2004.0,Action,76.25999999999998
2004.0,Adventure,8.7
2004.0,Fighting,16.780000000000005
2004.0,Racing,47.86000000000003
2004.0,Shooter,46.95000000000003
2005.0,Action,85.69000000000005
2005.0,Adventure,8.530000000000001
2005.0,Fighting,19.71999999999999
2005.0,Racing,56.42000000000003
2005.0,Shooter,41.60000000000003
2006.0,Action,66.58
2006.0,Adventure,11.469999999999986
2006.0,Fighting,22.55
2006.0,Racing,34.09000000000002
2006.0,Shooter,38.37000000000004
2007.0,Action,106.50000000000006
2007.0,Adventure,24.470000000000027
2007.0,Fighting,17.609999999999996
2007.0,Racing,39.170000000000016
2007.0,Shooter,71.03999999999999
2008.0,Action,136.39
2008.0,Adventure,25.020000000000028
2008.0,Fighting,35.37999999999999
2008.0,Racing,70.66
2008.0,Shooter,59.51000000000001
2009.0,Action,139.3600000000001
2009.0,Adventure,20.68000000000003
2009.0,Fighting,32.15
2009.0,Racing,34.19000000000002
2009.0,Shooter,69.89000000000001
2010.0,Action,117.63999999999997
2010.0,Adventure,16.570000000000004
2010.0,Fighting,14.890000000000002
2010.0,Racing,34.93
2010.0,Shooter,77.40999999999994
2011.0,Action,118.96000000000001
2011.0,Adventure,15.979999999999977
2011.0,Fighting,22.68
2011.0,Racing,35.010000000000005
2011.0,Shooter,99.36
2012.0,Action,122.03999999999988
2012.0,Adventure,5.989999999999999
2012.0,Fighting,9.51
2012.0,Racing,14.459999999999997
2012.0,Shooter,72.85999999999999
2013.0,Action,125.22
2013.0,Adventure,6.609999999999992
2013.0,Fighting,7.21
2013.0,Racing,13.040000000000001
2013.0,Shooter,62.799999999999976
2014.0,Action,99.02000000000008
2014.0,Adventure,6.0599999999999925
2014.0,Fighting,16.15
2014.0,Racing,16.69000000000001
2014.0,Shooter,65.99999999999996
2015.0,Action,70.69999999999996
2015.0,Adventure,8.029999999999996
2015.0,Fighting,7.78
2015.0,Racing,7.92
2015.0,Shooter,66.14999999999999
2016.0,Action,19.910000000000025
2016.0,Adventure,1.8100000000000007
2016.0,Fighting,3.859999999999999
2016.0,Racing,1.6400000000000006
2016.0,Shooter,18.219999999999995
