score_phrase,title,url,platform,score,genre,editors_choice,release_year,release_month,release_day,Global_Sales
Amazing,Uncharted: Drake's Fortune,/games/uncharted-drakes-fortune/ps3-812550,PlayStation 3,9.1,"Action, Adventure",Y,2007,11,13,4.94
Amazing,Uncharted 2: Among Thieves,/games/uncharted-2-among-thieves/ps3-14225971,PlayStation 3,9.5,"Action, Adventure",Y,2009,9,18,6.73
Masterpiece,Uncharted 3: Drake's Deception,/games/uncharted-3-drakes-deception/ps3-94314,PlayStation 3,10.0,"Action, Adventure",Y,2011,10,24,6.83
Great,Uncharted: Golden Abyss,/games/uncharted-golden-abyss/vita-19533,PlayStation Vita,8.5,"Action, Adventure",Y,2012,2,13,1.74
Amazing,Uncharted: The Nathan Drake Collection,/games/uncharted-the-nathan-drake-collection/ps4-20038258,PlayStation 4,9.0,Action,Y,2015,9,30,4.47
Amazing,Uncharted 4: A Thief's End,/games/uncharted-4/ps4-122005,PlayStation 4,9.0,"Action, Adventure",Y,2016,5,11,4.2
